"","project","major","minor","release","filename","filepath","shortpath","churn","la","ld","CC","LOC","num_pre","bfs","exp","num_bugs","num_post","priority","release_id"
"1","accumulo",1,4,"1.4.0","Constants.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/Constants.java","/apache/accumulo/core/Constants.java",0.00186297748555282,451,265,0.000305141636576311,0.00153726908668131,13,0.00773694390715667,0.105263157894737,0.142857142857143,2,0.266666666666667,0
"2","accumulo",1,4,"1.4.0","BloomFilter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/bloomfilter/BloomFilter.java","/accumulo/core/bloomfilter/BloomFilter.java",0.00230270261831598,565,320,0.0013731373645934,0.00157602376953882,4,0,0,0,0,0,0
"3","accumulo",1,4,"1.4.0","DynamicBloomFilter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/bloomfilter/DynamicBloomFilter.java","/accumulo/core/bloomfilter/DynamicBloomFilter.java",0.00278145660901671,677,392,0.00172913594059909,0.00174396072858804,4,0,0,0,0,0,0
"4","accumulo",1,4,"1.4.0","Filter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/bloomfilter/Filter.java","/accumulo/core/bloomfilter/Filter.java",0.0022506641410659,555,310,0.000864567970299547,0.00104637643715282,6,0,0,0,0,0,0
"5","accumulo",1,4,"1.4.0","AccumuloException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/AccumuloException.java","/accumulo/core/client/AccumuloException.java",0.000481355914563228,119,66,0.000152570818288155,0.000155018731430048,4,0,0,0,0,0,0
"6","accumulo",1,4,"1.4.0","AccumuloSecurityException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/AccumuloSecurityException.java","/accumulo/core/client/AccumuloSecurityException.java",0.00116566189040176,276,172,0.000864567970299547,0.000645911380958532,6,0,0,0,0,0,0
"7","accumulo",1,4,"1.4.0","BatchDeleter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/BatchDeleter.java","/accumulo/core/client/BatchDeleter.java",0.000338250102125512,88,42,0,9.04275933341945e-05,6,0,0,0,0,0,0
"8","accumulo",1,4,"1.4.0","BatchScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/BatchScanner.java","/accumulo/core/client/BatchScanner.java",0.000455336675938189,111,64,0,7.75093657150239e-05,4,0,0,0,0,0,0
"9","accumulo",1,4,"1.4.0","BatchWriter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/BatchWriter.java","/accumulo/core/client/BatchWriter.java",0.000616655955413433,150,87,0,9.04275933341945e-05,6,0,0,0,0,0,0
"10","accumulo",1,4,"1.4.0","ClientSideIteratorScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/ClientSideIteratorScanner.java","/accumulo/core/client/ClientSideIteratorScanner.java",0.00249784690800378,616,344,0.00162742206174032,0.0021573440124015,12,0,0,0,0,0,0
"11","accumulo",1,4,"1.4.0","Connector.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/Connector.java","/accumulo/core/client/Connector.java",0.002313110313766,547,342,0.000610283273152622,0.000568402015243509,13,0,0,0,0,0,0
"12","accumulo",1,4,"1.4.0","Instance.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/Instance.java","/accumulo/core/client/Instance.java",0.00127234076876442,326,163,0,0.000232528097145072,8,0,0,0,0,0,0
"13","accumulo",1,4,"1.4.0","IsolatedScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/IsolatedScanner.java","/accumulo/core/client/IsolatedScanner.java",0.00303124129981708,719,446,0.00157656512231094,0.00248029970288076,7,0,0,0,0,0,0
"14","accumulo",1,4,"1.4.0","IteratorSetting.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/IteratorSetting.java","/accumulo/core/client/IteratorSetting.java",0.00348397605189277,784,555,0.00127142348573463,0.00147267794858545,14,0,0,0,0,0,0
"15","accumulo",1,4,"1.4.0","MultiTableBatchWriter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/MultiTableBatchWriter.java","/accumulo/core/client/MultiTableBatchWriter.java",0.000614054031550929,152,84,0,7.75093657150239e-05,6,0,0,0,0,0,0
"16","accumulo",1,4,"1.4.0","MutationsRejectedException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/MutationsRejectedException.java","/accumulo/core/client/MutationsRejectedException.java",0.000869042570076314,211,123,0.000254284697146926,0.000426301511432631,4,0,0,0,0,0,0
"17","accumulo",1,4,"1.4.0","RowIterator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/RowIterator.java","/accumulo/core/client/RowIterator.java",0.0014570773630022,360,200,0.00106799572801709,0.00109804934762951,6,0,0,0,0,0,0
"18","accumulo",1,4,"1.4.0","Scanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/Scanner.java","/accumulo/core/client/Scanner.java",0.000790984854201196,201,103,0,0.000142100503810877,6,0,0,0,0,0,0
"19","accumulo",1,4,"1.4.0","ScannerBase.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/ScannerBase.java","/accumulo/core/client/ScannerBase.java",0.00229489684672847,489,393,0,0.000297119235240925,15,0,0,0,0,0,0
"20","accumulo",1,4,"1.4.0","TableDeletedException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/TableDeletedException.java","/accumulo/core/client/TableDeletedException.java",0.000301823168050457,78,38,0.00010171387885877,0.000142100503810877,6,0,0,0,0,0,0
"21","accumulo",1,4,"1.4.0","TableExistsException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/TableExistsException.java","/accumulo/core/client/TableExistsException.java",0.000582830945200882,145,79,0.000305141636576311,0.00019377341428756,4,0,0,0,0,0,0
"22","accumulo",1,4,"1.4.0","TableNotFoundException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/TableNotFoundException.java","/accumulo/core/client/TableNotFoundException.java",0.000681704051976031,169,93,0.000355998576005696,0.000258364552383413,4,0,0,0,0,0,0
"23","accumulo",1,4,"1.4.0","TableOfflineException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/TableOfflineException.java","/accumulo/core/client/TableOfflineException.java",0.000325240482812992,82,43,0.000203427757717541,0.000219609869525901,5,0,0,0,0,0,0
"24","accumulo",1,4,"1.4.0","ZooKeeperInstance.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/ZooKeeperInstance.java","/accumulo/core/client/ZooKeeperInstance.java",0.00288553356351686,691,418,0.00167827900116971,0.00214442578478233,9,0,0,0,0,0,0
"25","accumulo",1,4,"1.4.0","ActiveScan.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/ActiveScan.java","/core/client/admin/ActiveScan.java",0.00177971592195269,422,262,0.000762854091440777,0.00100762175429531,4,0,0,0,0,0,0
"26","accumulo",1,4,"1.4.0","FindMax.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/FindMax.java","/core/client/admin/FindMax.java",0.00188899672417786,448,278,0.00122056654630524,0.0014080868104896,5,0,0,0,0,0,0
"27","accumulo",1,4,"1.4.0","InstanceOperations.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/InstanceOperations.java","/core/client/admin/InstanceOperations.java",0.00254468153752885,477,501,0,0.000167936959049218,10,0,0,0,0,0,0
"28","accumulo",1,4,"1.4.0","InstanceOperationsImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/InstanceOperationsImpl.java","/core/client/admin/InstanceOperationsImpl.java",0.000915877199601385,352,0,0.000966281849158318,0.0014985144038238,2,0,0,0,0,0,0
"29","accumulo",1,4,"1.4.0","ScanState.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/ScanState.java","/core/client/admin/ScanState.java",0.000153513507887732,40,19,0.00010171387885877,3.8754682857512e-05,4,0,0,0,0,0,0
"30","accumulo",1,4,"1.4.0","ScanType.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/ScanType.java","/core/client/admin/ScanType.java",0.000148309660162724,39,18,0.00010171387885877,3.8754682857512e-05,4,0,0,0,0,0,0
"31","accumulo",1,4,"1.4.0","SecurityOperations.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/SecurityOperations.java","/core/client/admin/SecurityOperations.java",0.00183956017079028,464,243,0,0.000271282780002584,4,0,0,0,0,0,0
"32","accumulo",1,4,"1.4.0","SecurityOperationsImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/SecurityOperationsImpl.java","/core/client/admin/SecurityOperationsImpl.java",0.00467825910478208,1093,705,0.00203427757717541,0.00233819919906989,5,0,0,0,0,0,0
"33","accumulo",1,4,"1.4.0","TableOperations.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/TableOperations.java","/core/client/admin/TableOperations.java",0.00487340339446987,1224,649,0,0.000891357705722775,14,0,0,0,0,0,0
"34","accumulo",1,4,"1.4.0","TableOperationsHelper.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/TableOperationsHelper.java","/core/client/admin/TableOperationsHelper.java",0.00143105812437716,357,193,0.00177999288002848,0.00160186022477716,16,0,0,0,0,0,0
"35","accumulo",1,4,"1.4.0","TableOperationsImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/TableOperationsImpl.java","/core/client/admin/TableOperationsImpl.java",0.0103868800591157,2537,1455,0.007526827035549,0.00868104896008268,9,0.0889748549323017,0.359649122807017,0.428571428571429,6,0.533333333333333,0
"36","accumulo",1,4,"1.4.0","TimeType.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/admin/TimeType.java","/core/client/admin/TimeType.java",0.000291415472600441,73,39,0.00010171387885877,5.16729104766826e-05,4,0,0,0,0,0,0
"37","accumulo",1,4,"1.4.0","AccumuloServerException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/AccumuloServerException.java","/core/client/impl/AccumuloServerException.java",0.00039028857937559,97,53,0.000152570818288155,0.00020669164190673,4,0,0,0,0,0,0
"38","accumulo",1,4,"1.4.0","BatchWriterImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/BatchWriterImpl.java","/core/client/impl/BatchWriterImpl.java",0.000595840564513401,144,85,0.000254284697146926,0.000426301511432631,4,0,0,0,0,0,0
"39","accumulo",1,4,"1.4.0","ClientExec.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ClientExec.java","/core/client/impl/ClientExec.java",0.000143105812437716,38,17,0,3.8754682857512e-05,4,0,0,0,0,0,0
"40","accumulo",1,4,"1.4.0","ClientExecReturn.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ClientExecReturn.java","/core/client/impl/ClientExecReturn.java",0.000143105812437716,38,17,0,3.8754682857512e-05,4,0,0,0,0,0,0
"41","accumulo",1,4,"1.4.0","ConnectorImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ConnectorImpl.java","/core/client/impl/ConnectorImpl.java",0.00143366004823967,363,188,0.000915424909728932,0.00131765921715541,10,0,0,0,0,0,0
"42","accumulo",1,4,"1.4.0","IsolationException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/IsolationException.java","/core/client/impl/IsolationException.java",0.000169125051062756,44,21,0,3.8754682857512e-05,4,0,0,0,0,0,0
"43","accumulo",1,4,"1.4.0","MasterClient.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/MasterClient.java","/core/client/impl/MasterClient.java",0.00117346766198927,286,165,0.0010171387885877,0.00113680403048702,5,0.224371373307544,0.254385964912281,0.285714285714286,4,0.4,0
"44","accumulo",1,4,"1.4.0","MetadataLocationObtainer.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/MetadataLocationObtainer.java","/core/client/impl/MetadataLocationObtainer.java",0.00167563896745253,407,237,0.000966281849158318,0.00156310554191965,5,0.0773694390715667,0.105263157894737,0.142857142857143,2,0.333333333333333,0
"45","accumulo",1,4,"1.4.0","MultiTableBatchWriterImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/MultiTableBatchWriterImpl.java","/core/client/impl/MultiTableBatchWriterImpl.java",0.00110841956542668,269,157,0.000661140212582007,0.000968867071437799,6,0,0,0,0,0,0
"46","accumulo",1,4,"1.4.0","OfflineScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/OfflineScanner.java","/core/client/impl/OfflineScanner.java",0.00212316987180321,816,0,0.0023902761531811,0.00363002196098695,2,0.0270793036750484,0.165413533834586,0.285714285714286,4,0.466666666666667,0
"47","accumulo",1,4,"1.4.0","RootTabletLocator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/RootTabletLocator.java","/core/client/impl/RootTabletLocator.java",0.000915877199601385,223,129,0.000711997152011392,0.00080093011238858,5,0,0,0,0,0,0
"48","accumulo",1,4,"1.4.0","ScannerImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ScannerImpl.java","/core/client/impl/ScannerImpl.java",0.00137641772326458,330,199,0.000559426333723237,0.000917194160961116,7,0,0,0,0,0,0
"49","accumulo",1,4,"1.4.0","ScannerIterator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ScannerIterator.java","/core/client/impl/ScannerIterator.java",0.002313110313766,556,333,0.00142399430402278,0.00204107996382896,6,0,0,0,0,0,0
"50","accumulo",1,4,"1.4.0","ScannerOptions.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ScannerOptions.java","/core/client/impl/ScannerOptions.java",0.00266957388292904,605,421,0.00198342063774602,0.00224777160573569,10,0,0,0,0,0,0
"51","accumulo",1,4,"1.4.0","ServerClient.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ServerClient.java","/core/client/impl/ServerClient.java",0.00148569852548975,381,190,0.0013731373645934,0.00176979718382638,11,0,0,0,0,0,0
"52","accumulo",1,4,"1.4.0","Tables.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/Tables.java","/core/client/impl/Tables.java",0.00107199263135162,263,149,0.0010171387885877,0.00100762175429531,7,0,0,0,0,0,0
"53","accumulo",1,4,"1.4.0","TabletLocator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletLocator.java","/core/client/impl/TabletLocator.java",0.00228448915127846,542,336,0.00122056654630524,0.00183438832192223,5,0.0735009671179884,0.105263157894737,0.142857142857143,2,0.333333333333333,0
"54","accumulo",1,4,"1.4.0","TabletLocatorImpl.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletLocatorImpl.java","/core/client/impl/TabletLocatorImpl.java",0.00716049446961083,1681,1071,0.00472969536693282,0.00565818369719674,5,0.0812379110251451,0.105263157894737,0.142857142857143,2,0.333333333333333,0
"55","accumulo",1,4,"1.4.0","TabletServerBatchDeleter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletServerBatchDeleter.java","/core/client/impl/TabletServerBatchDeleter.java",0.000759761767851149,184,108,0.000254284697146926,0.000723420746673556,7,0,0,0,0,0,0
"56","accumulo",1,4,"1.4.0","TabletServerBatchReader.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletServerBatchReader.java","/core/client/impl/TabletServerBatchReader.java",0.00106678878362661,264,146,0.000508569394293851,0.00099470352667614,5,0,0,0,0,0,0
"57","accumulo",1,4,"1.4.0","TabletServerBatchReaderIterator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletServerBatchReaderIterator.java","/core/client/impl/TabletServerBatchReaderIterator.java",0.00586994023380888,1428,828,0.00452626760921528,0.00595530293243767,9,0.00967117988394584,0.0526315789473684,0.142857142857143,1,0.1,0
"58","accumulo",1,4,"1.4.0","TabletServerBatchWriter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletServerBatchWriter.java","/core/client/impl/TabletServerBatchWriter.java",0.0103920839068407,2440,1554,0.00656054518639068,0.00826766567626922,8,0,0,0,0,0,0
"59","accumulo",1,4,"1.4.0","TabletType.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/TabletType.java","/core/client/impl/TabletType.java",0.000473550142975716,116,66,0.000508569394293851,0.000322955690479266,5,0,0,0,0,0,0
"60","accumulo",1,4,"1.4.0","ThriftScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ThriftScanner.java","/core/client/impl/ThriftScanner.java",0.00543802087263323,1283,807,0.0034074149417688,0.0046634801705206,7,0,0,0,0,0,0
"61","accumulo",1,4,"1.4.0","ThriftTransportKey.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ThriftTransportKey.java","/core/client/impl/ThriftTransportKey.java",0.000624461727000944,153,87,0.000457712454864466,0.000503810877147655,5,0,0,0,0,0,0
"62","accumulo",1,4,"1.4.0","ThriftTransportPool.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/ThriftTransportPool.java","/core/client/impl/ThriftTransportPool.java",0.00514140155230778,1297,679,0.00488226618522097,0.00600697584291435,10,0,0,0,0,0,0
"63","accumulo",1,4,"1.4.0","Translator.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/Translator.java","/core/client/impl/Translator.java",0.00145967928686471,351,210,0.000762854091440777,0.00121431339620204,4,0,0,0,0,0,0
"64","accumulo",1,4,"1.4.0","Writer.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/Writer.java","/core/client/impl/Writer.java",0.000923682971188897,232,123,0.000559426333723237,0.00099470352667614,5,0,0,0,0,0,0
"65","accumulo",1,4,"1.4.0","ClientService.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/thrift/ClientService.java","/client/impl/thrift/ClientService.java",0.0575961866203871,21635,501,0.216599705029751,0.223175300348792,8,0,0,0,0,0,0
"66","accumulo",1,4,"1.4.0","ConfigurationType.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/thrift/ConfigurationType.java","/client/impl/thrift/ConfigurationType.java",0.000122290421537685,47,0,0.000406855515435081,0.000348792145717608,1,0,0,0,0,0,0
"67","accumulo",1,4,"1.4.0","TableOperation.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/thrift/TableOperation.java","/client/impl/thrift/TableOperation.java",0.000208153909000315,80,0,0.000966281849158318,0.000775093657150239,1,0,0,0,0,0,0
"68","accumulo",1,4,"1.4.0","TableOperationExceptionType.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/thrift/TableOperationExceptionType.java","/client/impl/thrift/TableOperationExceptionType.java",0.000153513507887732,59,0,0.000610283273152622,0.000503810877147655,1,0,0,0,0,0,0
"69","accumulo",1,4,"1.4.0","ThriftTableOperationException.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/impl/thrift/ThriftTableOperationException.java","/client/impl/thrift/ThriftTableOperationException.java",0.00184476401851529,708,1,0.00767939785383716,0.00726004392197391,2,0,0,0,0,0,0
"70","accumulo",1,4,"1.4.0","AccumuloFileOutputFormat.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/AccumuloFileOutputFormat.java","/core/client/mapreduce/AccumuloFileOutputFormat.java",0.00205812177524061,480,311,0.000915424909728932,0.00122723162382121,15,0,0,0,0,0,0
"71","accumulo",1,4,"1.4.0","AccumuloInputFormat.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/AccumuloInputFormat.java","/core/client/mapreduce/AccumuloInputFormat.java",0.000481355914563228,124,61,0.000203427757717541,0.000374628600955949,6,0,0,0,0,0,0
"72","accumulo",1,4,"1.4.0","AccumuloOutputFormat.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/AccumuloOutputFormat.java","/core/client/mapreduce/AccumuloOutputFormat.java",0.00564097093390853,1346,822,0.00422112597263897,0.00425009688670714,10,0.191489361702128,0.179824561403509,0.285714285714286,3,0.333333333333333,0
"73","accumulo",1,4,"1.4.0","AccumuloRowInputFormat.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/AccumuloRowInputFormat.java","/core/client/mapreduce/AccumuloRowInputFormat.java",0.000572423249750866,139,81,0.000203427757717541,0.000465056194290143,6,0,0,0,0,0,0
"74","accumulo",1,4,"1.4.0","InputFormatBase.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/InputFormatBase.java","/core/client/mapreduce/InputFormatBase.java",0.013899477273496,3250,2092,0.0105273864618827,0.0113163673943935,22,0.392649903288201,0.210526315789474,0.285714285714286,4,0.466666666666667,0
"75","accumulo",1,4,"1.4.0","KeyRangePartitioner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/lib/partition/KeyRangePartitioner.java","/mapreduce/lib/partition/KeyRangePartitioner.java",0.000504773229325763,127,67,0.000254284697146926,0.000348792145717608,4,0,0,0,0,0,0
"76","accumulo",1,4,"1.4.0","RangePartitioner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mapreduce/lib/partition/RangePartitioner.java","/mapreduce/lib/partition/RangePartitioner.java",0.00134779656077704,325,193,0.000915424909728932,0.00111096757524868,5,0,0,0,0,0,0
"77","accumulo",1,4,"1.4.0","IteratorAdapter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mock/IteratorAdapter.java","/core/client/mock/IteratorAdapter.java",0.000408502046413118,107,50,0.000254284697146926,0.000413383283813461,5,0,0,0,0,0,0
"78","accumulo",1,4,"1.4.0","MockAccumulo.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mock/MockAccumulo.java","/core/client/mock/MockAccumulo.java",0.000572423249750866,151,69,0.000355998576005696,0.000620074925720191,9,0,0,0,0,0,0
"79","accumulo",1,4,"1.4.0","MockBatchDeleter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mock/MockBatchDeleter.java","/core/client/mock/MockBatchDeleter.java",0.00057502517361337,157,64,0.000152570818288155,0.000465056194290143,6,0,0,0,0,0,0
"80","accumulo",1,4,"1.4.0","MockBatchScanner.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mock/MockBatchScanner.java","/core/client/mock/MockBatchScanner.java",0.000660888661076,175,79,0.000559426333723237,0.000749257201911898,9,0.0386847195357834,0.0745614035087719,0.142857142857143,1,0.1,0
"81","accumulo",1,4,"1.4.0","MockBatchWriter.java","/home/kjbaron/Documents/NABATS/cloned_repos/accumulo-1.4.0/src/core/src/main/java/org/apache/accumulo/core/client/mock/MockBatchWriter.java","/core/client/mock/MockBatchWriter.java",0.00040329819868811,103,52,0.000305141636576311,0.000322955690479266,4,0,0,0,0,0,0
